Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
201900000001,30,11,2019,1:30,4,93,93053,1,1,1,2,AUTOROUTE A3,48,
201900000002,30,11,2019,2:50,3,93,93066,1,1,1,6,AUTOROUTE A1,48,
201900000003,28,11,2019,15:15,1,92,92036,1,1,1,4,AUTOROUTE A86,48,
201900000004,30,11,2019,20:20,5,94,94069,1,1,1,4,A4,48,
201900000005,30,11,2019,4:00,3,94,94028,1,1,1,2,A86 INT,48,
201900000006,28,11,2019,14:03,1,87,87085,1,3,2,3,FOCH (RUE DU MARECHAL),45,
201900000007,28,11,2019,7:27,2,69,69092,2,1,8,2,BEAUJOLAIS (avenue du),46,
201900000008,29,11,2019,16:40,2,38,38544,2,1,1,6,VICTOR HUGO(RUE),45,
201900000009,28,11,2019,18:00,3,34,34129,1,1,1,5,PALAVAS D986 (ROUTE DE),43,
201900000010,28,11,2019,14:50,1,13,13206,2,1,1,2,LOUIS SALVATOR (BOULEVARD),43,
201900000011,28,11,2019,13:45,1,13,13206,2,1,1,6,BAILLE (BOULEVARD),43,
201900000012,27,11,2019,18:15,4,93,93078,1,1,2,6,AUTOROUTE A104,48,
201900000013,29,11,2019,16:50,1,988,98818,2,1,1,7,AVENUE JAMES COOK,-22,
201900000014,29,11,2019,16:40,1,976,97611,2,9,2,3,m'tsapere-Macoco Mandzarsoa ( rue ),-12,
201900000015,29,11,2019,8:10,1,974,97407,2,1,1,6,COMMUNE DE PARIS (AVENUE),-20,
201900000016,29,11,2019,9:00,1,69,69386,2,1,8,6,GENERAL BROSSET (DU)                (AV),45,
201900000017,29,11,2019,6:50,1,972,97209,2,1,1,6,GABARES (RUE DES),14,
201900000018,29,11,2019,18:30,5,69,69382,2,4,2,3,TREMIE N°6,45,
201900000019,29,11,2019,14:10,1,69,69389,2,1,1,3,PAUL SEDAILLIAN                     (QU),45,
201900000020,29,11,2019,8:15,1,69,69382,2,1,1,6,KITCHENER MARCHAND                  (PT),45,
201900000021,29,11,2019,17:55,4,2B,2B033,1,1,1,3,ST FLORENT-ANCIENNE RT DE,42,
201900000022,29,11,2019,10:10,1,2B,2B033,2,1,6,7,IMPERIALE - ROUTE,42,
201900000023,29,11,2019,9:20,1,2B,2B033,2,1,1,1,PHILIPINES - CHEMIN DES,42,
201900000024,29,11,2019,3:00,5,91,91477,2,1,2,2,HENRI BARBUSSE (RUE),48,
201900000025,29,11,2019,15:15,1,91,91345,2,1,8,6,CATHELIN DR (BOULEVARD DU),48,
201900000026,29,11,2019,18:00,2,86,86194,1,1,1,4,RN 147 BUXEROLLES,46,
201900000027,28,11,2019,18:10,5,86,86194,2,3,1,6,LIBERATION (AVENUE DE LA),46,
201900000028,29,11,2019,12:20,1,83,83137,2,1,1,6,LICES (AVE DES),43,
201900000029,27,11,2019,7:55,3,80,80021,2,1,2,3,ROGER DUMOULIN (AVENUE),49,
201900000030,25,11,2019,14:50,1,78,78126,2,2,8,3,DRIONNE (AVENUE DE LA),48,
201900000031,30,11,2019,1:55,3,78,78551,1,1,1,6,RD 308,48,
201900000032,28,11,2019,11:05,1,77,77284,2,9,8,6,ROSE (BD.JEAN),48,
201900000033,29,11,2019,16:00,1,76,76026,1,1,2,1,RD 1,49,
201900000034,29,11,2019,17:30,5,72,72181,2,1,1,6,BOLLEE (AV) N° PAIRS 224 ET >,47,
201900000035,29,11,2019,14:30,1,71,71540,1,1,8,7,CENTRE A CENTRE (ROUTE),46,
201900000036,29,11,2019,1:00,5,69,69029,2,1,8,3,CHARLES DE GAULLE                   (RP),45,
201900000037,29,11,2019,13:40,1,67,67482,2,1,2,3,JEAN JAURES (AVENUE),48,
201900000038,29,11,2019,13:50,1,66,66136,2,1,1,6,MOULIN (PLACE JEAN),42,
201900000039,28,11,2019,16:35,1,66,66136,2,1,1,6,QUATRE-SAISONS (DES),42,
201900000040,29,11,2019,21:40,3,64,64335,1,1,1,7,SAULT DE NAVAILLES DE,43,
201900000041,29,11,2019,7:00,5,64,64445,2,6,2,3,FRANCOIS MITTERAND,43,
201900000042,29,11,2019,18:15,2,60,60057,2,1,1,6,NOTRE DAME DU THIL (RUE),49,
201900000043,29,11,2019,16:45,2,51,51454,2,1,1,3,AVENUE JEAN JAURES,49,
201900000044,28,11,2019,12:10,1,51,51454,2,1,2,6,ALLEE JACQUES SIMON,49,
201900000045,28,11,2019,6:55,5,51,51454,2,1,1,7,RUE DE TAISSY,49,
201900000046,28,11,2019,19:12,5,51,51108,2,1,1,7,ALLEE VOLTAIRE,48,
201900000047,29,11,2019,21:25,5,50,50218,2,9,2,6,SAINT PAUL (RUE),48,
201900000048,29,11,2019,8:59,2,50,50129,2,1,1,6,CALIGNY (QUAI DE),49,
201900000049,28,11,2019,8:16,1,49,49007,2,1,1,7,TURPIN DE CRISSE AVENUE,47,
201900000050,29,11,2019,17:50,5,45,45147,2,2,1,4,RUE MARCELIN BERTHELOT - AV ORADOUR SUR GLANE,47,
201900000051,29,11,2019,17:10,2,45,45234,2,6,1,3,RUE DES MONTEES,47,
201900000052,29,11,2019,6:55,3,38,38179,1,1,3,1,Avenue de la Combe,45,
201900000053,29,11,2019,14:38,1,37,37261,2,1,1,6,GRAMMONT (AVENUE DE),47,
201900000054,29,11,2019,17:40,3,35,35238,1,1,1,2,RN136,48,
201900000055,29,11,2019,11:34,1,35,35238,2,9,9,2,HOCHE (PLACE),48,
201900000056,29,11,2019,9:10,1,35,35238,2,1,1,6,UKRAINE (ALLEE D'),48,
201900000057,27,11,2019,15:30,1,34,34032,2,1,1,6,VINGT DEUX AOUT 1944 (AV DU),43,
201900000058,29,11,2019,18:45,5,33,33063,2,2,1,2,QUAI DE PALUDATE,44,
201900000059,22,11,2019,18:45,5,33,33063,2,2,2,3,CRS JOURNU AUBER,44,
201900000060,6,11,2019,19:15,5,33,33550,2,6,1,2,RTE DE LEOGNAN,44,
201900000061,29,11,2019,7:30,2,33,33318,2,2,2,1,AVE DU PONT DE L'ORIENT,44,
201900000062,28,11,2019,8:45,1,33,33075,2,3,8,3,ALL DE BOUTAUT,44,
201900000063,27,11,2019,15:10,1,33,33119,2,1,1,6,AVE CARNOT,44,
201900000064,27,11,2019,17:40,5,33,33318,2,6,2,3,AVE DE CANDAU,44,
201900000065,27,11,2019,13:00,1,33,33522,2,4,2,3,BD DU PDT FRANKLIN ROOSEVELT,44,
201900000066,28,11,2019,20:05,4,31,31555,2,1,3,6,RTE DE LAUNAGUET,43,
201900000067,30,11,2019,0:30,5,30,30007,2,1,1,6,D'INDY (AVE VINCENT),44,
201900000068,29,11,2019,5:01,3,29,29232,1,1,3,7,RN 165,48,
201900000069,28,11,2019,18:50,5,29,29019,2,1,1,6,LOUPPE ALBERT (DE 1 A 69 ET 2 A 62),48,
201900000070,27,11,2019,20:11,5,29,29019,2,1,1,2,FOCH MARECHAL,48,
201900000071,26,11,2019,13:05,1,22,22278,2,6,1,7,GUEBRIANT,48,
201900000072,28,11,2019,16:15,1,19,19031,2,2,2,1,MOULIN (BOULEVARD JEAN) COTE POMPIERS,45,
201900000073,28,11,2019,18:05,3,19,19031,2,1,2,6,ALVITRE (AVENUE ABBE),45,
201900000074,29,11,2019,17:08,2,18,18279,2,1,1,6,ROUSSEAU (RUE GEORGES),47,
201900000075,29,11,2019,19:40,3,17,17028,1,1,1,1,DOUX   CHEMIN DU PUITS,46,
201900000076,29,11,2019,13:40,1,13,13117,2,6,1,3,MONNET (AVENUE JEAN),43,
201900000077,24,11,2019,10:30,1,13,13108,1,1,2,7,RD 970 ROUTE D'AVIGNON,43,
201900000078,29,11,2019,14:30,1,13,13210,2,1,1,3,SCHLOESING (BOULEVARD),43,
201900000079,29,11,2019,16:45,2,13,13207,2,3,1,3,Corniche John Fitzgérald Kennedy,43,
201900000080,29,11,2019,12:51,1,13,13208,2,1,1,6,LOUVAIN (BOULEVARD DE),43,
201900000081,22,9,2019,0:20,3,83,83077,1,1,2,6,RD202,43,
201900000082,22,9,2019,2:10,3,74,74145,1,1,1,6,Route de la Frontière,46,
201900000083,21,9,2019,15:55,1,38,38072,1,1,1,4,CD519B,45,
201900000084,20,9,2019,8:00,1,81,81020,1,1,1,1,chemin de Fénols - lieu dit fontaine neuve,43,
201900000085,19,9,2019,12:35,1,33,33496,2,1,1,3,32 Avenue du Périgord,44,
201900000086,20,9,2019,10:38,1,22,22223,1,1,1,2,Pont Ezer,48,
201900000087,1,9,2019,11:00,1,22,22070,2,2,1,3,rue cosquer,48,
201900000088,21,9,2019,4:50,3,76,76287,1,1,1,7,d44,49,
201900000089,21,9,2019,19:35,2,2,2242,1,1,1,7,D969,48,
201900000090,22,9,2019,15:00,1,80,80386,1,1,3,1,D395,49,
201900000091,21,9,2019,18:55,1,59,59630,1,1,1,7,CD62,50,
201900000092,21,9,2019,15:00,1,92,92004,1,1,1,4,RN315 W,48,
201900000093,21,9,2019,13:20,1,78,78118,1,1,1,2,A13,48,
201900000094,21,9,2019,0:55,4,78,78322,1,1,1,2,RN12 EXT,48,
201900000095,20,9,2019,19:03,1,92,92036,1,1,1,2,A86,48,
201900000096,21,9,2019,16:42,1,93,93005,1,1,1,6,AUTOROUTE A1,48,
201900000097,21,9,2019,15:50,1,95,95252,1,1,1,6,AUTOROUTE A15,48,
201900000098,20,9,2019,20:32,5,93,93027,1,1,1,2,AUTOROUTE A86,48,
201900000099,20,9,2019,20:30,3,93,93010,1,1,1,2,AUTOROUTE A3,48,
201900000100,20,9,2019,18:15,1,95,95527,1,1,1,5,AUTOROUTE A1,49,
201900000101,21,9,2019,13:10,1,94,94022,1,1,1,3,A86 INT,48,
201900000102,19,9,2019,17:00,1,71,71040,2,3,1,1,JOSEPH LAMBERT (RUE),46,
201900000103,18,9,2019,20:10,2,63,63113,2,1,1,5,MEUNIERS (RUE DES),45,
201900000104,18,9,2019,19:29,1,63,63113,2,1,1,3,FLAUBERT (BD GUSTAVE),45,
201900000105,18,9,2019,17:36,1,63,63032,2,1,1,6,PARC (AVENUE DU),45,
201900000106,18,9,2019,15:57,1,63,63113,2,2,1,6,Pasteur/DUCLAUX (BD),45,
201900000107,17,9,2019,16:28,1,63,63113,2,1,1,6,SOUS LES VIGNES (RUE),45,
201900000108,16,9,2019,21:10,2,63,63113,2,1,1,6,LAVOISIERS (BD),45,
201900000109,12,9,2019,14:40,1,62,62624,2,1,1,6,REPUBLIQUE (AVE DE LA ),50,
201900000110,2,9,2019,10:30,1,62,62193,2,2,1,3,VALENCIENNES,50,
201900000111,20,9,2019,12:50,1,92,92020,2,1,1,2,VERDUN AVENUE DE AUTRES N°,48,
201900000112,25,7,2019,15:25,1,92,92004,2,1,1,6,NORMANDIE  ( RUE DE ),48,
